Box -8.0,-8.0,-1.0 1.0,16.0,1.0 0.0,0.0,0.0
Box 7.0,-8.0,-1.0 1.0,16.0,1.0 0.0,0.0,0.0
Box -7.0,-8.0,-1.0 14.0,1.0,1.0 0.0,0.0,0.0
Box -7.0,7.0,-1.0 14.0,1.0,1.0 0.0,0.0,0.0
Box -6.999999523162842,-6.999999523162842,0.0 14.0,14.0,1.0 0.0,-0.0,0.0
Box -4.0,1.0,1.0 3.0,2.0,2.0 0.0,-0.0,0.0
Regular_Ramp 2.0,3.0,3.0 3.0,2.0,2.0 0.0,0.0,6.3553643226623535
Diagonal_Ramp 1.0,-3.0,1.0 4.0,4.0,4.0 0.0,-0.0,1.5707963705062866
Box -1.0,1.0,1.0 3.0,2.0,2.0 0.0,-0.0,0.0
Box -4.0,1.0,3.0 3.0,2.0,2.0 0.0,-0.0,0.0
SectionBoundingBox -8.0,-8.0,-1.0 16.0,16.0,16.0
