Regular_Ramp 7.0,-7.0,1.0 2.0,2.0,1.0 0.0,0.0,0.0
Diagonal_Ramp_Inner 7.0,-5.0,1.0 2.0,2.0,1.0 0.0,0.0,0.0
Regular_Ramp 7.0,-5.0,1.0 2.0,2.0,1.0 0.0,0.0,1.5707963705062866
Diagonal_Ramp_Inner 5.0,-5.0,1.0 2.0,2.0,1.0 0.0,0.0,1.5707963705062866
Box 3.0,-3.0,1.0 8.0,1.0,1.0
Box 1.0,-7.0,1.0 2.0,4.0,1.0
Diagonal_Ramp 5.0,-9.0,1.0 2.0,2.0,1.0 0.0,0.0,1.5707963705062866
Regular_Ramp 3.0,-9.0,1.0 2.0,2.0,1.0 0.0,0.0,1.5707963705062866
Regular_Ramp 5.0,-5.0,1.0 2.0,2.0,1.0 0.0,0.0,3.1415927410125732
Box 9.0,-7.0,1.0 2.0,4.0,1.0
Box 18.0,-10.0,-1.0 1.0,11.0,1.0
Box 0.0,-11.0,-1.0 19.0,1.0,1.0
Box 6.0,-2.0,-1.0 6.0,2.0,1.0
Box 12.0,0.0,-1.0 6.0,1.0,1.0
Box 12.0,-10.0,0.0 6.0,10.0,1.0
Box 6.0,-10.0,0.0 6.0,8.0,1.0
Box -1.0,-11.0,-1.0 1.0,11.0,1.0
Box -1.0,0.0,-1.0 7.0,1.0,1.0
Box 0.0,-10.0,0.0 6.0,10.0,1.0
Door 15.0,-0.5,1.0 2.0,1.0,1.0 1 2,1 0.0,-1
SectionBoundingBox -1.0,-11.0,-1.0 20.0,12.0,8.0
